problem,expected_szs,result,time_ms,steps,active_branches_max,csp_calls
SYO/SYO027^1.p,Theorem,thm,1,2.0,1.0,0.0
SEU/SEU551^3.p,Theorem,thm,1,2.0,1.0,0.0
SYN/SYN989^3.p,Theorem,thm,1,1.0,1.0,0.0
SYN/SYN989^1.p,Theorem,thm,1,2.0,1.0,0.0
SEU/SEU551^2.p,Theorem,thm,1,1.0,1.0,0.0
SYO/SYO389^5.p,Theorem,thm,2,1.0,1.0,0.0
SEV/SEV366^5.p,CounterSatisfiable,csa,2,1.0,1.0,0.0
SYO/SYO196^5.p,Theorem,thm,2,2.0,1.0,0.0
SYN/SYN987^1.p,CounterSatisfiable,csa,2,2.0,1.0,0.0
SET/SET062^6.p,Theorem,thm,2,2.0,1.0,0.0
SYO/SYO009^1.p,Theorem,thm,2,1.0,1.0,0.0
SYN/SYN988^1.p,CounterSatisfiable,csa,2,2.0,1.0,0.0
SYO/SYO184^5.p,Theorem,thm,2,3.0,1.0,0.0
SYO/SYO185^5.p,Theorem,thm,2,2.0,1.0,0.0
SYO/SYO183^5.p,Theorem,thm,2,2.0,1.0,0.0
SYO/SYO015^1.p,Theorem,thm,2,2.0,1.0,0.0
SYO/SYO191^5.p,Theorem,thm,2,3.0,1.0,0.0
SYO/SYO195^5.p,Theorem,thm,2,3.0,1.0,0.0
SYO/SYO187^5.p,Theorem,thm,2,3.0,1.0,0.0
SYO/SYO183^6.p,Theorem,thm,2,3.0,1.0,0.0
SYO/SYO118^5.p,Theorem,thm,2,1.0,1.0,0.0
SYO/SYO120^5.p,Theorem,thm,2,2.0,1.0,0.0
SYO/SYO080^5.p,Theorem,thm,2,1.0,1.0,0.0
SYO/SYO186^5.p,Theorem,thm,2,3.0,1.0,0.0
SYO/SYO366^5.p,Theorem,thm,2,1.0,1.0,0.0
SYO/SYO369^5.p,Theorem,thm,2,1.0,1.0,0.0
SYO/SYO028^1.p,Theorem,thm,2,2.0,1.0,0.0
SET/SET627^5.p,Theorem,thm,2,3.0,1.0,0.0
SYO/SYO203^5.p,Theorem,thm,3,1.0,1.0,0.0
SEV/SEV383^5.p,Theorem,thm,3,3.0,1.0,1.0
SEU/SEU832^5.p,Theorem,thm,3,2.0,1.0,0.0
SYO/SYO202^5.p,Theorem,thm,3,2.0,1.0,0.0
SEU/SEU833^5.p,Theorem,thm,3,2.0,1.0,0.0
SET/SET162^5.p,Theorem,thm,3,2.0,1.0,0.0
SYN/SYN998^1.p,Theorem,thm,3,4.0,1.0,0.0
SET/SET062^5.p,Theorem,thm,3,3.0,1.0,0.0
SEU/SEU847^5.p,Theorem,thm,3,2.0,1.0,0.0
SYO/SYO122^5.p,CounterSatisfiable,csa,3,4.0,1.0,0.0
SYO/SYO130^5.p,CounterSatisfiable,csa,3,2.0,1.0,0.0
SYO/SYO124^5.p,Theorem,thm,3,1.0,1.0,0.0
SEU/SEU831^5.p,Theorem,thm,3,2.0,1.0,0.0
SEV/SEV411^5.p,Theorem,thm,3,1.0,1.0,0.0
SET/SET604^5.p,Theorem,thm,3,2.0,1.0,0.0
SYO/SYO012^1.p,Theorem,thm,3,1.0,1.0,0.0
SYO/SYO192^5.p,Theorem,thm,3,3.0,1.0,0.0
SYO/SYO190^5.p,Theorem,thm,3,3.0,1.0,0.0
SET/SET603^5.p,Theorem,thm,3,2.0,1.0,0.0
SYO/SYO252^5.p,Theorem,thm,3,3.0,1.0,0.0
SYO/SYO076^5.p,Theorem,thm,3,1.0,1.0,0.0
SYO/SYO119^5.p,Theorem,thm,3,5.0,1.0,1.0
SEV/SEV322^5.p,CounterSatisfiable,csa,3,1.0,1.0,0.0
SEV/SEV325^5.p,CounterSatisfiable,csa,3,3.0,1.0,0.0
SYO/SYO128^5.p,Theorem,thm,3,1.0,1.0,0.0
SEU/SEU834^5.p,Theorem,thm,4,4.0,1.0,0.0
SEU/SEU836^5.p,Theorem,thm,4,4.0,1.0,0.0
SET/SET194^5.p,Theorem,thm,4,4.0,1.0,0.0
SET/SET196^5.p,Theorem,thm,4,4.0,1.0,0.0
SYO/SYO205^5.p,Theorem,thm,4,3.0,1.0,0.0
SEV/SEV413^5.p,Theorem,thm,4,1.0,1.0,0.0
NUM/NUM782^1.p,Theorem,thm,4,3.0,1.0,0.0
SEV/SEV160^5.p,Theorem,thm,4,1.0,1.0,0.0
SYO/SYO253^5.p,Theorem,thm,4,2.0,1.0,0.0
SEV/SEV368^5.p,CounterSatisfiable,csa,4,3.0,1.0,0.0
SYO/SYO204^5.p,Theorem,thm,4,6.0,1.0,0.0
SEU/SEU883^5.p,Theorem,thm,4,1.0,1.0,0.0
SYN/SYN357^5.p,Theorem,thm,4,5.0,1.0,1.0
